volatile acidity,chlorides,free sulfur dioxide,sulphates,alcohol,quality
0.92,0.087,12.0,0.54,9.8,5
0.39,0.073,10.0,0.75,10.2,6
0.33,0.057,19.0,0.89,11.1,7
0.49,0.071,14.0,0.63,12.0,6
0.31,0.056,10.0,0.69,11.8,5
0.31,0.059,11.0,0.76,10.1,6
0.58,0.065,8.0,0.84,9.4,5
0.48,0.101,3.0,0.59,12.1,7
0.4,0.09,13.0,0.63,10.5,6
0.735,0.122,68.0,0.53,9.9,5
0.6,0.095,25.0,0.54,10.1,5
0.56,0.081,17.0,0.54,9.5,5
0.885,0.084,31.0,0.53,9.4,5
0.87,0.084,10.0,0.5,9.8,5
0.575,0.077,12.0,0.51,9.2,5
0.34,0.052,5.0,0.69,12.1,7
0.35,0.078,15.0,0.86,12.8,8
0.37,0.062,15.0,0.73,11.3,7
0.67,0.083,18.0,0.54,9.4,5
0.36,0.074,24.0,0.85,11.0,7
0.27,0.047,3.0,0.51,11.8,6
0.28,0.093,6.0,0.62,12.4,7
0.5,0.07,3.0,0.63,9.2,5
1.0,0.102,7.0,0.46,10.0,5
0.55,0.07,7.0,0.64,9.4,6
0.52,0.096,5.0,0.52,9.4,5
0.69,0.055,7.0,0.53,12.9,6
0.21,0.075,10.0,0.84,9.2,7
0.48,0.066,10.0,0.67,11.2,7
0.52,0.079,11.0,0.58,9.6,5
0.4,0.068,29.0,0.6,12.2,6
0.33,0.091,18.0,0.8,9.6,6
0.46,0.077,28.0,0.64,10.4,6
0.57,0.065,34.0,0.74,12.7,8
0.635,0.073,25.0,0.75,10.9,6
0.365,0.088,39.0,0.78,11.0,5
0.705,0.092,12.0,0.72,10.0,5
1.02,0.076,26.0,0.57,10.1,6
0.35,0.073,46.0,0.58,9.5,5
0.41,0.095,22.0,0.76,9.9,7
0.2,0.076,31.0,0.81,10.4,6
0.655,0.078,7.0,0.39,9.5,5
0.58,0.077,27.0,0.59,9.8,5
0.3,0.069,18.0,0.78,10.3,6
0.41,0.088,16.0,0.64,9.1,5
0.6,0.085,10.0,0.63,10.5,6
0.43,0.08,29.0,0.64,10.3,5
0.4,0.08,6.0,0.57,12.5,6
0.69,0.115,20.0,0.71,9.3,5
0.47,0.058,18.0,0.85,11.1,6
0.43,0.086,23.0,0.64,9.5,5
0.39,0.074,9.0,0.54,9.4,6
0.76,0.072,26.0,0.6,11.5,6
0.42,0.054,34.0,0.68,10.4,6
0.24,0.062,8.0,0.94,10.9,6
0.57,0.069,4.0,0.54,9.8,6
0.44,0.145,34.0,0.86,9.9,3
0.5,0.082,5.0,0.52,10.7,6
0.36,0.086,20.0,0.54,10.1,6
0.69,0.069,35.0,0.51,9.5,5
0.62,0.084,11.0,0.66,9.8,5
0.55,0.068,8.0,0.44,10.0,5
0.3,0.06,19.0,0.72,11.8,6
0.6,0.08,31.0,0.52,9.9,5
0.52,0.085,12.0,0.62,9.5,7
0.48,0.07,4.0,0.55,10.3,6
0.63,0.093,51.0,0.45,9.5,5
0.57,0.069,26.0,0.53,9.3,5
0.47,0.055,27.0,0.48,12.3,6
0.46,0.077,18.0,0.6,10.6,6
1.005,0.102,11.0,0.48,10.0,5
0.37,0.088,6.0,0.8,9.3,5
0.58,0.075,9.0,0.57,9.7,5
0.23,0.069,9.0,0.54,12.3,6
0.55,0.082,15.0,0.68,10.5,5
0.51,0.084,13.0,0.54,10.5,6
0.26,0.071,6.0,0.72,10.2,7
0.67,0.186,5.0,0.54,9.5,5
0.51,0.062,4.0,0.54,10.5,5
0.36,0.08,41.0,0.73,10.9,6
0.6,0.068,20.0,1.17,10.2,5
0.69,0.084,13.0,0.45,9.4,5
0.745,0.114,15.0,0.59,9.5,6
0.82,0.083,21.0,0.53,9.4,5
0.6,0.083,13.0,0.62,10.2,7
0.475,0.091,6.0,0.65,10.0333333333333,6
0.49,0.074,12.0,0.58,10.2,6
0.32,0.071,23.0,0.97,10.6,5
0.25,0.071,45.0,0.86,10.2,7
0.63,0.078,18.0,0.75,9.8,5
0.42,0.065,5.0,0.87,11.3,6
0.64,0.115,5.0,0.69,10.1,7
0.755,0.107,20.0,0.5,9.5,5
0.42,0.092,33.0,0.52,9.2,5
0.39,0.068,5.0,0.46,11.4,5
0.56,0.074,15.0,0.82,11.2,6
0.3,0.064,12.0,0.84,11.7,7
0.82,0.081,26.0,0.53,10.0,5
0.59,0.109,31.0,0.5,9.1,5
0.56,0.064,13.0,0.62,11.7,7
0.56,0.053,24.0,0.6,11.3,5
0.5,0.057,15.0,0.45,9.5,5
0.6,0.063,6.0,0.57,9.9,5
0.49,0.09,23.0,0.62,12.2,6
0.34,0.094,17.0,0.81,9.5,6
0.49,0.069,13.0,0.48,9.2,6
0.4,0.089,11.0,0.61,10.5,6
0.66,0.098,25.0,0.53,9.0,5
0.52,0.074,5.0,0.81,9.6,6
0.4,0.066,5.0,0.56,9.2,5
0.59,0.093,19.0,0.65,9.3,6
0.635,0.089,15.0,0.57,10.4,4
0.61,0.066,18.0,0.66,10.9,6
0.68,0.087,17.0,0.53,9.5,5
0.45,0.094,16.0,0.49,10.2,6
0.39,0.051,28.0,0.55,12.1,6
0.49,0.093,6.0,0.93,12.0,6
0.37,0.083,25.0,0.82,10.4,6
0.65,0.065,15.0,0.47,10.0,7
0.635,0.077,16.0,0.54,9.7,5
0.41,0.066,18.0,0.62,10.4,5
0.545,0.08,13.0,0.59,9.0,6
0.3,0.09,11.0,0.64,12.1,7
0.3,0.081,16.0,0.78,10.8,6
0.35,0.079,27.0,0.75,10.4,6
0.47,0.074,7.0,0.46,9.5,5
0.66,0.069,9.0,1.2,10.3,5
0.67,0.054,6.0,0.47,10.0,5
0.32,0.066,35.0,0.62,10.1,5
0.69,0.088,22.0,0.62,10.1,5
0.915,0.143,7.0,0.65,10.2,7
0.36,0.095,19.0,0.57,11.7,6
0.95,0.09,7.0,0.56,9.6,5
0.46,0.077,25.0,0.53,11.2,5
0.61,0.088,17.0,0.51,9.3,4
0.36,0.079,26.0,0.62,9.5,6
0.5,0.077,21.0,0.62,9.4,5
0.46,0.114,9.0,0.65,9.8,5
0.42,0.083,17.0,0.66,11.1,6
0.39,0.07,23.0,0.5,11.5,6
0.49,0.07,5.0,0.48,9.4,5
0.68,0.087,5.0,0.6,10.2,5
0.42,0.084,15.0,0.59,10.0,5
0.4,0.157,2.0,0.91,9.5,6
0.51,0.064,40.0,0.93,10.7,6
0.37,0.082,18.0,0.68,9.7,6
0.44,0.077,11.0,0.63,11.6,7
0.6,0.074,16.0,0.7,9.9,6
0.645,0.095,10.0,0.74,11.1,5
0.38,0.071,5.0,0.62,10.8,6
0.86,0.079,13.0,0.62,10.0,5
0.655,0.096,5.0,0.42,9.6,5
0.6,0.069,15.0,0.46,9.4,5
0.48,0.082,9.0,0.43,9.05,4
0.615,0.065,9.0,0.65,9.2,5
0.27,0.079,28.0,0.8,10.2,6
0.645,0.086,14.0,0.46,10.3,5
0.9,0.079,5.0,0.56,9.8,5
0.32,0.103,13.0,0.55,9.2,5
0.59,0.077,20.0,0.59,9.8,5
0.74,0.078,21.0,0.51,9.8,5
0.56,0.089,35.0,0.73,11.8,7
0.65,0.078,17.0,0.74,11.7,7
0.685,0.1,6.0,0.68,11.2,7
0.3,0.062,3.0,0.57,11.5,7
0.62,0.084,25.0,0.53,9.5,5
0.64,0.081,14.0,0.66,9.8,5
0.73,0.081,12.0,0.46,9.6,4
0.61,0.074,13.0,0.65,9.8,5
0.57,0.081,16.0,0.6,10.3,6
0.69,0.097,22.0,0.54,9.2,6
0.715,0.07,5.0,0.59,9.9,5
0.59,0.095,5.0,0.58,10.3,5
0.53,0.07,6.0,0.64,10.0,6
0.49,0.332,8.0,0.9,10.5,6
0.36,0.067,4.0,0.55,12.8,7
0.915,0.07,15.0,0.54,11.1,5
0.52,0.081,14.0,0.65,9.0,6
0.34,0.066,10.0,1.18,9.2,6
0.4,0.052,13.0,0.9,13.4,7
0.25,0.063,11.0,0.8,12.4,7
0.63,0.083,17.0,0.58,9.8,6
0.42,0.07,4.0,0.63,9.6,5
0.39,0.046,12.0,0.62,12.2,6
0.62,0.07,5.0,0.48,9.8,5
0.7,0.076,11.0,0.56,9.4,5
0.65,0.066,8.0,0.67,9.5,6
0.41,0.611,8.0,1.26,9.4,5
0.3,0.05,37.5,0.51,12.3,7
0.57,0.069,4.0,0.54,9.8,6
0.4,0.087,10.0,0.77,10.5,7
0.765,0.084,9.0,0.68,10.9,6
0.54,0.049,5.0,0.58,11.4,5
0.67,0.118,13.0,0.67,11.3,6
0.56,0.077,25.0,0.59,9.2,5
0.69,0.124,21.0,0.72,10.2,5
0.89,0.132,7.0,1.18,10.2,5
0.715,0.075,13.0,0.54,9.5,6
0.31,0.06,3.0,0.83,10.9,7
0.55,0.077,26.0,0.82,11.6,6
0.885,0.166,6.0,0.51,10.8,5
0.32,0.104,8.0,0.78,11.0,7
0.31,0.075,9.0,0.83,11.2,7
0.36,0.23,19.0,0.93,12.4,6
0.84,0.074,16.0,0.72,9.25,6
0.57,0.081,16.0,0.6,10.3,6
0.31,0.08,22.0,0.67,9.7,6
0.575,0.076,11.0,0.69,9.0,5
0.31,0.067,6.0,0.86,10.7,6
0.18,0.049,38.0,0.93,11.3,5
0.57,0.073,17.0,0.57,9.3,5
0.6,0.079,19.0,0.62,10.1,6
0.74,0.054,7.0,0.63,11.5,6
0.43,0.106,8.0,0.5,9.6,5
1.115,0.086,5.0,0.6,11.2,4
0.64,0.077,32.0,0.45,9.9,5
0.49,0.074,27.0,0.58,9.0,5
0.315,0.084,5.0,0.7,9.2,6
0.56,0.078,14.0,0.62,9.4,5
0.67,0.045,19.0,0.49,11.4,6
0.6,0.08,31.0,0.52,9.9,5
0.51,0.091,8.0,0.66,9.6,6
0.59,0.063,34.0,0.67,9.7,5
0.765,0.063,35.0,0.78,9.9,5
0.34,0.084,4.0,0.44,10.1,5
0.6,0.083,17.0,0.56,9.8,6
0.45,0.099,20.0,0.71,10.8,5
0.855,0.062,15.0,0.6,11.0,6
0.73,0.074,5.0,0.52,9.5,5
0.52,0.067,12.0,0.57,9.1,5
0.785,0.078,10.0,0.67,10.0,5
0.48,0.073,16.0,0.66,12.4,6
0.4,0.085,21.0,0.63,9.7,6
0.56,0.082,10.0,0.62,9.5,5
0.32,0.074,27.0,0.79,10.7,5
0.68,0.073,12.0,0.5,9.3,5
0.715,0.089,10.0,0.77,9.5,5
0.695,0.075,12.0,0.67,9.2,5
0.39,0.118,6.0,0.75,9.8,6
0.53,0.118,10.0,0.56,11.7,6
0.49,0.068,15.0,0.59,12.5,6
0.43,0.106,10.0,0.91,9.5,5
0.64,0.083,7.0,0.68,10.3,5
0.35,0.096,20.0,0.65,11.0,6
0.885,0.058,4.0,0.33,9.1,4
0.84,0.088,13.0,0.6,10.4,6
0.72,0.076,7.0,0.54,9.6,5
0.42,0.067,7.0,0.44,10.4,5
0.5,0.057,15.0,0.45,9.5,5
0.78,0.059,5.0,0.56,11.3,5
0.56,0.074,15.0,0.82,11.2,6
0.67,0.401,16.0,1.14,9.4,5
0.65,0.112,12.0,0.52,9.2,5
0.38,0.132,3.0,0.57,13.2,6
0.54,0.071,16.0,0.62,9.4,5
0.41,0.093,9.0,0.66,10.5,5
0.3,0.08,6.0,0.92,11.7,8
0.5,0.049,17.0,0.63,13.0,5
0.98,0.057,15.0,0.46,11.2,6
0.37,0.066,26.0,0.72,11.8,6
0.46,0.079,12.0,0.57,10.0,5
0.38,0.08,7.0,0.47,9.5,5
0.4,0.157,1.0,0.92,9.5,6
0.3,0.052,6.0,0.82,11.9,6
0.31,0.065,34.0,0.85,11.4,6
0.45,0.08,23.0,0.62,9.5,5
0.45,0.076,12.0,0.75,10.2,6
0.38,0.106,5.0,0.55,11.4,6
0.62,0.078,17.0,0.53,9.7,5
0.28,0.114,3.0,0.6,10.9,6
0.63,0.077,6.0,0.57,9.4,5
0.47,0.071,8.0,0.73,10.6,6
0.88,0.079,23.0,0.5,11.2,4
0.42,0.072,32.0,0.77,12.0,6
0.73,0.076,16.0,0.52,9.3,5
0.39,0.091,6.0,0.49,9.5,5
0.69,0.091,15.0,0.6,11.3,6
0.6,0.08,25.0,0.49,9.9,5
0.49,0.076,10.0,0.54,9.7,5
0.5,0.094,10.0,0.6,9.7,7
0.61,0.094,30.0,0.5,10.0,6
0.965,0.112,11.0,0.5,9.5,5
0.61,0.08,8.0,0.73,10.5,5
0.22,0.039,8.0,0.56,12.4,6
0.51,0.07,12.0,0.73,9.5,6
0.63,0.097,29.0,0.58,9.6,5
0.43,0.075,19.0,0.64,9.5,5
0.39,0.074,32.0,0.61,9.0,5
0.63,0.089,11.0,0.55,10.4,6
0.59,0.102,32.0,0.71,9.8,5
0.23,0.063,21.0,0.63,11.1,5
0.54,0.071,16.0,0.62,9.4,5
0.39,0.093,12.0,0.63,10.8,7
0.27,0.074,17.0,0.72,10.6,6
0.79,0.087,21.0,0.44,9.2,5
0.4,0.092,15.0,0.66,10.2,5
0.32,0.077,3.0,0.78,9.6,5
0.685,0.111,20.0,0.61,9.3,5
0.34,0.066,3.0,0.55,11.4,7
0.87,0.084,10.0,0.5,9.8,5
0.37,0.071,17.0,0.78,10.1,5
0.36,0.047,26.0,0.77,9.7,6
0.615,0.089,16.0,0.52,9.9,5
0.39,0.065,14.0,0.53,13.3,6
0.6,0.098,5.0,0.49,9.1,5
0.36,0.08,41.0,0.73,10.9,6
0.36,0.122,10.0,0.66,12.5,6
0.32,0.073,5.0,0.82,12.6,8
0.29,0.059,5.0,0.74,10.5,7
0.68,0.075,16.0,0.52,9.5,5
0.58,0.074,15.0,0.59,10.2,5
0.38,0.08,24.0,0.85,11.0,6
0.53,0.08,24.0,0.6,9.5,5
0.36,0.074,24.0,0.85,11.0,7
0.51,0.084,13.0,0.54,10.5,6
0.65,0.078,8.0,0.62,10.4,6
0.27,0.074,6.0,1.13,12.0,7
0.24,0.074,3.0,0.59,9.5,6
0.41,0.096,25.0,0.53,10.0,5
0.22,0.064,53.0,0.87,11.0,7
0.62,0.146,27.0,0.7,9.4,5
0.74,0.111,33.0,0.55,9.4,5
0.58,0.072,6.0,0.56,10.0,5
0.25,0.041,4.0,0.71,12.5,7
0.63,0.077,6.0,0.57,9.4,5
0.635,0.263,5.0,1.09,9.3,5
0.18,0.071,45.0,0.76,11.8,7
0.54,0.077,7.0,0.91,9.4,6
0.33,0.063,10.0,0.73,12.0,7
0.66,0.075,13.0,0.56,9.4,5
0.62,0.065,8.0,0.51,11.8,6
0.62,0.072,38.0,0.89,11.8,6
0.24,0.066,6.0,0.9,11.0,7
