fixed acidity,citric acid,free sulfur dioxide,sulphates,alcohol,quality
6.7,0.13,15.0,0.64,9.8,5
7.5,0.04,8.0,0.53,9.6,5
11.9,0.65,7.0,0.68,11.3,6
13.0,0.65,15.0,0.61,10.6,5
7.2,0.05,16.0,0.6,10.3,6
7.1,0.0,6.0,0.58,9.8,5
7.4,0.47,21.0,0.57,9.1,5
7.2,0.06,17.0,0.53,9.7,5
8.4,0.12,38.0,0.89,11.8,6
7.3,0.05,6.0,0.63,10.1,5
8.9,0.34,4.0,0.48,9.1,6
9.3,0.48,3.0,0.57,13.2,6
6.7,0.08,15.0,0.54,9.2,5
8.4,0.04,10.0,0.44,9.6,5
7.3,0.0,15.0,0.47,10.0,7
9.0,0.0,19.0,0.6,9.3,5
7.7,0.01,12.0,0.56,10.5,7
10.7,0.39,8.0,0.5,9.6,5
7.6,0.31,4.0,0.55,10.3,6
8.8,0.29,5.0,0.49,9.1,5
6.4,0.12,25.0,0.71,11.3,7
7.6,0.02,10.0,0.71,11.7,7
6.5,0.0,48.0,0.7,11.5,6
8.4,0.22,4.0,0.57,9.9,6
6.0,0.0,15.0,0.45,9.5,5
8.0,0.16,3.0,0.58,11.2,6
6.6,0.02,19.0,0.66,12.6,6
10.3,0.44,5.0,0.63,9.5,6
7.3,0.26,17.0,0.52,9.9,5
6.4,0.09,14.0,0.67,11.0,4
9.8,0.47,9.0,0.65,10.8,6
6.2,0.2,3.0,0.56,9.2,5
7.5,0.36,17.0,0.8,10.5,5
9.8,0.39,3.0,0.57,11.5,7
8.9,0.13,4.0,0.52,11.5,5
5.9,0.21,57.0,0.44,9.5,5
8.8,0.38,19.0,0.72,11.8,6
11.9,0.69,12.0,0.65,12.8,6
5.6,0.78,23.0,0.48,10.5,6
7.9,0.25,21.0,0.96,12.1,6
7.7,0.06,19.0,0.62,10.1,6
8.4,0.12,38.0,0.89,11.8,6
9.7,0.32,22.0,0.62,10.1,5
10.4,0.54,5.0,0.63,9.5,5
13.2,0.52,12.0,0.56,9.0,6
7.0,0.0,12.0,0.6,9.4,6
9.2,0.34,5.0,0.67,10.5,6
11.8,0.49,54.0,0.76,10.7,7
8.7,0.28,17.0,0.63,10.2,6
10.2,0.64,10.0,0.66,12.5,6
5.9,0.0,25.0,0.53,11.2,5
8.9,0.35,25.0,1.36,10.3,6
7.1,0.02,24.0,0.53,9.7,6
5.3,0.11,16.0,0.88,13.5666666666667,7
7.8,0.12,7.0,0.5,9.4,6
6.9,0.1,12.0,0.58,10.2,6
7.7,0.37,23.0,0.71,12.1,6
9.9,0.26,7.0,0.98,10.2,5
12.6,0.49,8.0,0.82,10.3,6
12.5,0.63,6.0,0.87,10.2,5
10.2,0.49,5.0,0.74,10.5,7
8.1,0.28,16.0,1.28,9.3,5
8.6,0.39,6.0,0.69,11.7,8
9.9,0.58,9.0,0.58,9.0,5
7.1,0.0,26.0,0.68,10.8,6
8.2,0.4,4.0,0.7,12.8,7
6.4,0.02,4.0,0.68,9.5,5
8.4,0.11,16.0,0.82,9.6,5
7.1,0.28,31.0,0.48,9.4,5
8.8,0.3,17.0,0.51,9.3,4
7.5,0.12,29.0,0.7,10.3,6
8.0,0.16,3.0,0.92,10.5,7
7.0,0.02,8.0,0.67,9.5,6
7.9,0.01,17.0,0.74,11.7,7
7.9,0.51,17.0,1.08,9.2,6
9.6,0.35,17.0,0.66,11.1,6
7.3,0.03,10.0,0.47,9.6,5
9.1,0.68,18.0,1.33,9.1,6
6.4,0.0,7.0,0.53,12.9,6
7.5,0.57,5.0,0.55,11.4,6
7.2,0.21,41.0,0.54,10.1,6
7.8,0.44,8.0,0.78,11.0,7
7.8,0.13,17.0,0.53,11.2,6
7.8,0.1,5.0,0.69,10.1,7
7.1,0.0,12.0,0.5,9.3,5
8.4,0.19,11.0,0.59,9.2,4
6.1,0.1,13.0,0.5,11.9,5
7.1,0.42,28.0,0.71,10.5,5
7.8,0.19,17.0,0.54,9.5,5
7.0,0.32,9.0,0.49,11.3,7
12.3,0.49,28.0,0.8,10.2,6
8.8,0.64,9.0,0.66,10.5,5
7.3,0.36,12.0,0.83,10.5,5
7.7,0.15,11.0,0.48,10.0,5
7.0,0.08,8.0,0.53,9.0,5
11.9,0.53,7.0,0.84,12.2,7
7.4,0.07,11.0,0.76,9.7,6
8.9,0.45,10.0,0.76,11.9,7
7.2,0.13,18.0,0.68,9.9,6
10.0,0.24,19.0,0.56,10.1,6
6.7,0.02,26.0,0.82,10.9,6
7.7,0.0,8.0,0.73,9.3,5
6.9,0.06,8.0,0.71,9.6,5
6.0,0.0,40.0,0.93,10.7,6
7.5,0.27,17.0,0.58,9.8,6
8.1,0.44,6.0,0.61,10.7,5
6.6,0.09,9.0,0.49,10.8,6
7.1,0.14,7.0,0.62,9.3,5
6.7,0.23,11.0,0.7,10.9,5
9.9,0.41,11.0,0.5,9.5,5
7.4,0.19,16.0,0.51,10.5,5
7.4,0.27,14.0,0.63,12.0,6
10.0,0.11,8.0,0.47,9.7,5
9.0,0.49,21.0,0.57,9.7,5
8.5,0.4,3.0,0.66,11.6,7
7.0,0.02,15.0,0.81,10.6,6
10.8,0.45,20.0,0.54,9.6,5
6.7,0.27,24.0,0.57,11.3,6
7.5,0.24,10.0,0.78,9.5,6
8.0,0.53,18.0,0.8,9.6,6
10.7,0.22,17.0,0.98,9.9,6
5.6,0.05,12.0,0.82,12.9,8
7.7,0.1,28.0,0.49,9.8,6
8.7,0.45,32.0,0.77,12.0,6
11.2,0.5,19.0,0.58,10.4,5
9.1,0.34,12.0,0.84,11.7,7
7.1,0.29,20.0,0.65,11.0,6
8.2,0.1,25.0,0.75,10.9,6
10.3,0.42,6.0,0.62,9.5,6
7.7,0.1,11.0,0.5,9.5,5
7.1,0.0,9.0,0.55,11.5,7
11.1,0.48,7.0,0.64,10.1,6
6.6,0.02,6.0,0.69,9.5,5
8.2,0.23,14.0,0.62,9.4,5
9.4,0.31,13.0,0.63,10.5,6
8.7,0.0,13.0,0.45,9.4,5
9.6,0.47,9.0,0.82,10.3,7
8.8,0.21,33.0,0.52,9.2,5
10.1,0.22,11.0,0.64,11.3,4
7.8,0.7,22.0,1.28,9.4,5
7.8,0.37,24.0,0.59,9.4,6
10.5,0.47,6.0,1.04,10.9,7
9.7,0.6,5.0,0.86,12.4,6
7.8,0.26,23.0,0.74,9.2,6
8.3,0.13,6.0,0.59,9.2,6
10.6,0.39,6.0,0.66,9.2,5
7.0,0.17,15.0,0.68,10.55,7
7.9,0.23,18.0,0.65,9.3,5
7.5,0.2,30.0,0.58,9.2,5
8.1,0.52,37.0,0.69,9.3,5
7.5,0.24,15.0,1.59,9.5,5
6.8,0.1,34.0,0.67,9.7,5
6.2,0.0,6.0,0.61,10.0,4
7.1,0.01,27.0,0.58,10.7,6
7.4,0.0,16.0,0.67,10.2,5
6.7,0.43,22.0,1.16,10.6,6
8.6,0.36,30.0,0.56,9.4,5
7.8,0.26,31.0,0.52,9.9,5
7.2,0.18,12.0,0.72,9.6,6
9.3,0.36,3.0,0.78,10.9,6
7.6,0.34,26.0,0.59,12.5,7
6.1,0.09,18.0,0.54,11.2,6
7.5,0.18,24.0,0.58,9.4,5
6.9,0.0,21.0,0.52,10.8,5
7.3,0.0,6.0,0.96,9.9,6
7.6,0.03,7.0,0.56,9.6,5
9.2,1.0,32.0,2.0,9.4,4
10.4,0.48,6.0,0.87,10.9,6
8.2,0.43,31.0,0.81,10.4,6
7.7,0.12,19.0,0.49,9.4,5
13.0,0.49,6.0,0.68,12.7,6
7.8,0.26,31.0,0.46,9.2,5
7.2,0.3,35.0,0.52,9.4,5
6.7,0.07,20.0,0.74,11.7,6
7.6,0.29,29.0,0.59,9.5,6
9.5,0.66,12.0,0.67,9.6,5
12.9,0.49,5.0,0.66,12.0,7
7.7,0.2,15.0,0.44,10.9,5
7.8,0.04,17.0,0.56,10.0,6
6.7,0.08,18.0,0.64,9.7,5
7.1,0.0,7.0,0.58,10.9,4
7.3,0.3,33.0,0.65,9.5,6
8.9,0.21,21.0,0.83,11.1,6
10.8,0.41,7.0,0.67,9.3,6
7.3,0.1,4.0,0.47,10.5,5
7.9,0.33,15.0,0.55,9.5,5
7.9,0.0,9.0,0.68,10.9,6
9.5,0.27,23.0,0.55,9.4,5
10.9,0.47,6.0,0.75,9.8,6
10.0,0.59,3.0,0.78,9.6,5
9.6,0.37,10.0,0.56,10.5,5
8.8,0.04,14.0,0.6,10.9,6
11.8,0.55,5.0,0.62,10.8,6
7.2,0.26,13.0,0.52,9.9,5
10.6,0.43,21.0,0.57,10.1,5
9.9,0.41,11.0,0.5,9.5,5
6.7,0.02,29.0,0.56,10.75,6
12.8,0.66,7.0,0.73,10.0,7
9.4,0.56,6.0,0.92,11.7,8
8.8,0.4,7.0,0.79,11.8,7
9.2,0.5,12.0,0.79,13.3,7
7.4,0.01,13.0,0.65,9.8,5
7.2,0.08,26.0,0.51,9.4,5
6.6,0.02,37.0,0.76,11.6,7
7.7,0.23,17.0,0.48,9.5,5
8.1,0.09,18.0,0.72,11.1,6
9.5,0.1,6.0,0.56,10.1,6
7.0,0.16,8.0,0.55,9.7,5
8.1,0.22,9.0,1.2,10.3,5
7.9,0.42,18.0,0.69,11.2,6
7.2,0.46,24.0,0.85,11.0,7
12.8,0.74,9.0,0.77,10.8,7
7.8,0.42,9.0,0.66,11.6,6
9.0,0.4,25.0,0.83,10.9,6
6.4,0.25,21.0,0.62,9.8,6
7.6,0.25,28.0,0.57,9.1,5
8.8,0.19,30.0,0.5,10.0,6
8.9,0.31,12.0,0.55,10.4,6
6.8,0.02,5.0,0.52,9.5,5
9.1,0.42,9.0,0.55,11.4,5
7.2,0.06,15.0,0.54,9.5,5
8.5,0.42,12.0,0.71,11.8,7
7.2,0.24,30.0,0.58,10.1,5
12.5,0.49,5.0,0.74,11.9,6
7.6,0.13,24.0,0.61,9.4,5
5.6,0.09,17.0,0.63,13.0,5
9.0,0.43,29.0,0.6,12.2,6
6.6,0.0,5.0,0.44,11.9,6
5.1,0.02,18.0,0.62,12.8,6
7.2,0.0,10.0,0.72,11.1,6
9.3,0.45,19.0,0.89,11.1,7
7.2,0.0,14.0,0.58,9.0,6
10.5,0.47,6.0,0.9,11.0,7
7.3,0.02,31.0,0.68,11.0666666666667,6
9.4,0.53,6.0,1.13,12.0,7
11.3,0.41,6.0,0.8,9.3,5
9.4,0.28,18.0,0.53,9.7,5
8.6,0.65,3.0,0.58,11.0,5
7.1,0.17,27.0,0.64,10.4,5
6.6,0.03,32.0,0.56,12.3,7
7.5,0.34,4.0,0.64,11.0,7
11.1,0.53,3.0,0.83,10.9,7
6.9,0.3,9.0,1.18,10.5,6
6.8,0.06,11.0,0.59,10.8,7
8.6,0.11,12.0,0.48,9.9,5
9.0,0.04,27.0,0.7,9.4,5
7.7,0.12,7.0,0.65,10.2,7
7.5,0.15,29.0,0.58,9.1,5
7.5,0.03,25.0,0.54,10.1,5
10.0,0.45,6.0,0.49,11.8,7
10.0,0.2,13.0,0.69,9.2,6
10.3,0.48,6.0,0.59,9.3,6
7.1,0.0,18.0,0.54,9.4,5
8.3,0.3,7.0,0.61,10.5,5
7.0,0.13,25.0,0.59,9.2,5
11.9,0.66,10.0,0.85,10.4,7
7.0,0.28,12.0,0.7,11.0,6
10.0,0.5,7.0,0.93,11.8,6
12.4,0.58,28.0,1.0,11.5,6
6.4,0.21,14.0,0.66,9.8,5
8.2,0.26,28.0,0.43,10.1,5
6.7,0.28,36.0,0.39,11.7,7
7.0,0.14,10.0,0.61,10.4,5
12.6,0.54,19.0,0.76,11.3,6
6.2,0.17,7.0,0.54,11.4,5
7.3,0.02,31.0,0.68,11.1,6
7.1,0.14,15.0,0.49,10.7,5
7.9,0.23,23.0,0.67,9.3,5
8.3,0.38,24.0,0.7,10.8,6
8.8,0.18,12.0,0.54,9.4,5
6.3,0.16,11.0,0.56,9.3,5
7.2,0.13,12.0,0.54,10.1,5
8.0,0.17,6.0,0.61,9.2,6
7.7,0.49,20.0,0.71,9.3,5
6.4,0.09,34.0,0.68,10.4,6
10.0,0.4,10.0,0.91,9.7,5
9.9,0.5,48.0,0.75,8.8,5
8.0,0.37,36.0,0.44,12.7,6
6.8,0.08,18.0,0.65,9.6,6
7.3,0.32,51.0,0.82,12.9,6
10.5,0.64,6.0,0.66,11.8,7
6.2,0.08,11.0,0.63,11.6,6
8.9,0.21,21.0,0.83,11.1,6
7.2,0.02,10.0,0.53,11.8,6
11.7,0.63,7.0,0.69,10.9,6
6.9,0.2,8.0,0.49,11.7,5
7.7,0.04,25.0,0.53,9.5,5
9.9,0.38,31.0,0.82,10.6,7
7.0,0.09,10.0,0.59,11.5,6
7.0,0.07,15.0,0.6,11.3,6
9.3,0.49,38.0,0.55,9.4,5
10.6,0.6,7.0,1.06,9.4,5
12.5,0.55,25.0,0.82,10.4,6
7.9,0.31,10.0,0.69,9.5,6
7.1,0.14,15.0,0.49,10.7,5
9.5,0.52,6.0,0.51,9.5,5
8.7,0.38,10.0,0.73,12.0,7
7.3,0.39,7.0,0.52,11.5,6
9.8,0.49,5.0,0.79,10.7,6
8.3,0.39,17.0,0.77,12.5,7
7.2,0.46,24.0,0.85,11.0,7
10.8,0.42,19.0,0.73,11.9,6
8.5,0.18,5.0,0.48,9.8,6
9.0,0.23,28.0,0.56,9.2,5
10.5,0.49,14.0,0.56,9.6,4
9.9,0.55,24.0,0.94,10.0,5
7.8,0.08,10.0,0.71,9.8,6
7.8,0.01,3.0,0.46,9.8,5
6.3,0.0,27.0,0.48,12.3,6
7.0,0.0,3.0,0.47,10.3,5
6.8,0.31,26.0,0.64,10.1,6
7.8,0.26,23.0,0.74,9.2,6
11.1,0.54,21.0,0.51,9.5,5
6.4,0.02,4.0,0.68,9.5,5
6.6,0.02,15.0,0.6,11.0,6
6.3,0.01,15.0,0.46,11.2,6
9.8,0.39,3.0,0.55,11.4,7
7.6,0.21,7.0,0.55,9.7,5
7.1,0.28,31.0,0.48,9.4,5
6.2,0.39,6.0,0.69,11.0,6
5.6,0.04,5.0,0.58,11.4,5
7.9,0.4,11.0,0.87,8.7,6
11.9,0.69,17.0,0.61,10.8,6
9.6,0.23,37.0,0.65,10.1,5
8.0,0.25,34.0,0.42,9.2,5
7.1,0.2,28.0,0.64,10.4,6
8.1,0.22,12.0,0.51,9.2,5
7.7,0.34,15.0,0.78,11.8,6
7.4,0.01,13.0,0.65,9.8,5
6.9,0.02,35.0,0.78,9.9,5
7.7,0.21,32.0,0.45,9.9,5
8.7,0.09,20.0,0.86,10.6,7
9.6,0.42,25.0,0.71,11.4,6
